site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
60,,mount royal station howard st and mount royal ave,-76.61984947,39.30544249,,2,0,0,0,0,,,,,,,7
61,,greenmount ave and loch raven blvd,-76.60882489,39.31612768,,2,0,0,0,0,,,,,,,7
62,,cecil es,-76.60610932,39.31350804,,2,0,0,0,0,,,,,,,7
63,,aisquith st and curtain ave,-76.60115073,39.31337179,,2,0,0,0,0,,,,,,,7
64,,kirk ave and 25th st,-76.60198253,39.31760014,,2,0,0,0,0,,,,,,,7
65,,coldstream park es,-76.60132058,39.32142961,,2,0,0,0,0,,,,,,,7
66,,abbottson es/baltimore city college hs,-76.59708047,39.32601818,,2,0,0,0,0,,,,,,,7
67,,homewood ave and biddle st,-76.6050094,39.30334652,,2,0,0,0,0,,,,,,,7
68,,wyman park dell,-76.61866114,39.32441268,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
69,,waverly es/ms,-76.60498114,39.33023098,,2,0,0,0,0,,,,,,,7
70,,dolphin st and mcculloh st,-76.62703886,39.30253133,,2,0,0,0,0,,,,,,,7
71,,calhoun st and presstman st,-76.64013956,39.30601876,,2,0,0,0,0,,,,,,,7
72,,ensor st and monument st,-76.60199292,39.29858915,,2,0,0,0,0,,,,,,,7
73,,stony run park below wyman park dr,-76.62623662,39.32386491,,2,0,0,0,0,,,,,,,7
74,,calvert school,-76.6218558,39.33946971,underground detention to provide extended detention and partial treatment of stormwater runoff from upstream drainage area,2,120,30,36,5269017.6,2,17,1,5,4,1,7
75,,guilford neighborhood tulip park greenway and stratford rd,-76.61395492,39.34097672,stormwater pond/wetland system to treat stormwater runoff from upstream residential development.,2,45,30,13.5,1975881.6,2,14,1,4,4,3,7
76,,loyola college fitness and aquatic center wyndhurst ave and charles st,-76.6246647,39.35222633,,2,0,0,0,0,,,,,,,7
77,,friends school,-76.62744467,39.35757109,bioretention area in existing landscaping area in parking lot to treat parking lot runoff,2,0.8,100,0.8,104282.64,1,"1, 16",3,1,1,3,7
78,,cathedral of mary our queen,-76.62726395,39.36063042,bioretention areas in existing landscaping areas in parking lot to treat parking lot runoff,2,2.5,100,2.5,325883.25,1,"1, 16",3,3,1,3,7
79,,cotswold rd and amberly way,-76.63164289,39.36019793,convert/enhance existing outfall retrofit to stormwater pond/wetland system to provide additional treatment of stormwater runoff from upstream drainage area,2,55,35,19.25,2754571.05,2,14,3,4,4,3,7
80,,thurgood marshall ms,-76.54567113,39.32077405,bioretention area in existing open space area to treat parking lot runoff,2,1.5,100,1.5,195529.95,1,"1, 16",3,3,1,3,7
81,,mt pleasant park at perring pkwy and laurelton ave,-76.57417672,39.35551218,bioretention area in existing depression to treat roadway runoff,2,1.5,50,0.75,102910.5,1,"1, 16",4,3,1,3,7
82,,bryn mawr,-76.63017698,39.36359772,,2,0,0,0,0,,,,,,,7
83,,gilman country,-76.63329307,39.35933009,,2,0,0,0,0,,,,,,,7
84,,roland park es/ms,-76.63284737,39.35743543,,2,0,0,0,0,,,,,,,7
85,,knights of columbus,-76.61800694,39.35310711,bioretention area in existing pervious area to treat parking lot and rooftop runoff,2,0.3,100,0.3,39105.99,1,"1, 16",4,3,1,3,7
86,,notre dame college of maryland,-76.61658281,39.35194144,multi-cell bioretention area in existing dry detention basin to treat stormwater runoff from upstream drainage area,2,25,30,7.5,1097712,2,"1, 16",4,3,4,4,7
